"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Concórdia";"P";-46;16
"Concórdia";"Q";3;16
"Concórdia";"R";24;2
"Concórdia";"S";-14;-2
"Concórdia";"T";1;NA
"Cordilheira Alta";"A";-3;-1
"Cordilheira Alta";"B";1;NA
"Cordilheira Alta";"C";15;12
"Cordilheira Alta";"F";-6;-8
"Cordilheira Alta";"G";-3;6
"Cordilheira Alta";"H";2;-6
"Cordilheira Alta";"I";NA;1
"Cordilheira Alta";"K";-1;1
"Cordilheira Alta";"M";1;-2
"Cordilheira Alta";"N";1;2
"Cordilheira Alta";"S";NA;1
"Coronel Freitas";"A";0;4
"Coronel Freitas";"C";-35;-13
"Coronel Freitas";"F";-5;3
"Coronel Freitas";"G";1;4
"Coronel Freitas";"H";-2;1
"Coronel Freitas";"I";3;2
"Coronel Freitas";"J";0;2
"Coronel Freitas";"M";1;-2
"Coronel Freitas";"P";NA;-1
"Coronel Freitas";"Q";2;3
"Coronel Freitas";"S";3;2
"Coronel Martins";"G";NA;-1
"Coronel Martins";"H";1;1
